12.24% Epoch [1/2], Step [198/809], Loss: 3.2976, Perplexity: 27.0466
12.30% Epoch [1/2], Step [199/809], Loss: 3.3035, Perplexity: 27.2082
12.36% Epoch [1/2], Step [200/809], Loss: 3.3945, Perplexity: 29.8001
12.42% Epoch [1/2], Step [201/809], Loss: 3.3163, Perplexity: 27.5576
12.48% Epoch [1/2], Step [202/809], Loss: 3.2017, Perplexity: 24.5742
12.55% Epoch [1/2], Step [203/809], Loss: 3.1897, Perplexity: 24.2816
12.61% Epoch [1/2], Step [204/809], Loss: 3.4891, Perplexity: 32.7569
12.67% Epoch [1/2], Step [205/809], Loss: 3.2119, Perplexity: 24.8251
12.73% Epoch [1/2], Step [206/809], Loss: 3.2229, Perplexity: 25.1018
12.79% Epoch [1/2], Step [207/809], Loss: 3.3946, Perplexity: 29.8028
12.86% Epoch [1/2], Step [208/809], Loss: 3.3917, Perplexity: 29.7170
12.92% Epoch [1/2], Step [209/809], Loss: 3.1866, Perplexity: 24.2067
12.98% Epoch [1/2], Step [210/809], Loss: 3.2213, Perplexity: 25.0610
13.04% Epoch [1/2], Step [211/809], Loss: 3.2026, Perplexity: 24.5960
13.10% Epoch [1/2], Step [212/809], Loss: 3.1692, Perplexity: 23.7882
13.16% Epoch [1/2], Step [213/809], Loss: 3.1725, Perplexity: 23.8670
13.23% Epoch [1/2], Step [214/809], Loss: 3.2334, Perplexity: 25.3666
13.29% Epoch [1/2], Step [215/809], Loss: 3.1423, Perplexity: 23.1576
13.35% Epoch [1/2], Step [216/809], Loss: 3.3235, Perplexity: 27.7570
13.41% Epoch [1/2], Step [217/809], Loss: 3.1413, Perplexity: 23.1342
13.47% Epoch [1/2], Step [218/809], Loss: 3.2647, Perplexity: 26.1734
13.54% Epoch [1/2], Step [219/809], Loss: 3.2168, Perplexity: 24.9475
13.60% Epoch [1/2], Step [220/809], Loss: 3.1974, Perplexity: 24.4687
13.66% Epoch [1/2], Step [221/809], Loss: 3.1611, Perplexity: 23.5959
13.72% Epoch [1/2], Step [222/809], Loss: 3.1755, Perplexity: 23.9384
13.78% Epoch [1/2], Step [223/809], Loss: 3.1971, Perplexity: 24.4621
13.84% Epoch [1/2], Step [224/809], Loss: 3.1859, Perplexity: 24.1889
13.91% Epoch [1/2], Step [225/809], Loss: 3.2755, Perplexity: 26.4561
13.97% Epoch [1/2], Step [226/809], Loss: 3.1775, Perplexity: 23.9872
14.03% Epoch [1/2], Step [227/809], Loss: 3.2470, Perplexity: 25.7127
14.09% Epoch [1/2], Step [228/809], Loss: 3.2893, Perplexity: 26.8239
14.15% Epoch [1/2], Step [229/809], Loss: 3.1262, Perplexity: 22.7883
14.22% Epoch [1/2], Step [230/809], Loss: 3.2440, Perplexity: 25.6356
14.28% Epoch [1/2], Step [231/809], Loss: 3.1281, Perplexity: 22.8317
14.34% Epoch [1/2], Step [232/809], Loss: 3.1021, Perplexity: 22.2440
14.40% Epoch [1/2], Step [233/809], Loss: 3.2568, Perplexity: 25.9650
14.46% Epoch [1/2], Step [234/809], Loss: 3.4408, Perplexity: 31.2123
14.52% Epoch [1/2], Step [235/809], Loss: 3.2207, Perplexity: 25.0465
14.59% Epoch [1/2], Step [236/809], Loss: 3.1674, Perplexity: 23.7451
14.65% Epoch [1/2], Step [237/809], Loss: 3.2544, Perplexity: 25.9040
14.71% Epoch [1/2], Step [238/809], Loss: 3.0738, Perplexity: 21.6249
14.77% Epoch [1/2], Step [239/809], Loss: 3.1262, Perplexity: 22.7880
14.83% Epoch [1/2], Step [240/809], Loss: 3.1474, Perplexity: 23.2763
14.89% Epoch [1/2], Step [241/809], Loss: 3.1223, Perplexity: 22.6995
14.96% Epoch [1/2], Step [242/809], Loss: 3.2419, Perplexity: 25.5832
15.02% Epoch [1/2], Step [243/809], Loss: 3.4620, Perplexity: 31.8797
15.08% Epoch [1/2], Step [244/809], Loss: 3.0645, Perplexity: 21.4241
15.14% Epoch [1/2], Step [245/809], Loss: 3.1211, Perplexity: 22.6709
15.20% Epoch [1/2], Step [246/809], Loss: 3.1050, Perplexity: 22.3084
15.27% Epoch [1/2], Step [247/809], Loss: 3.0686, Perplexity: 21.5111
15.33% Epoch [1/2], Step [248/809], Loss: 3.0998, Perplexity: 22.1939
15.39% Epoch [1/2], Step [249/809], Loss: 3.2597, Perplexity: 26.0414
15.45% Epoch [1/2], Step [250/809], Loss: 3.2595, Perplexity: 26.0362
15.51% Epoch [1/2], Step [251/809], Loss: 3.1658, Perplexity: 23.7067
15.57% Epoch [1/2], Step [252/809], Loss: 3.1447, Perplexity: 23.2129
15.64% Epoch [1/2], Step [253/809], Loss: 3.3027, Perplexity: 27.1869
15.70% Epoch [1/2], Step [254/809], Loss: 3.1758, Perplexity: 23.9467
15.76% Epoch [1/2], Step [255/809], Loss: 3.2567, Perplexity: 25.9638
15.82% Epoch [1/2], Step [256/809], Loss: 3.1832, Perplexity: 24.1228
15.88% Epoch [1/2], Step [257/809], Loss: 3.1273, Perplexity: 22.8133
15.95% Epoch [1/2], Step [258/809], Loss: 3.1188, Perplexity: 22.6198
16.01% Epoch [1/2], Step [259/809], Loss: 3.0874, Perplexity: 21.9194
16.07% Epoch [1/2], Step [260/809], Loss: 3.0527, Perplexity: 21.1717
16.13% Epoch [1/2], Step [261/809], Loss: 3.0229, Perplexity: 20.5505
16.19% Epoch [1/2], Step [262/809], Loss: 3.5069, Perplexity: 33.3455
16.25% Epoch [1/2], Step [263/809], Loss: 3.0411, Perplexity: 20.9292
16.32% Epoch [1/2], Step [264/809], Loss: 3.0893, Perplexity: 21.9608
16.38% Epoch [1/2], Step [265/809], Loss: 3.2562, Perplexity: 25.9510
16.44% Epoch [1/2], Step [266/809], Loss: 3.1154, Perplexity: 22.5422
16.50% Epoch [1/2], Step [267/809], Loss: 3.1037, Perplexity: 22.2799
16.56% Epoch [1/2], Step [268/809], Loss: 3.0394, Perplexity: 20.8931
16.63% Epoch [1/2], Step [269/809], Loss: 3.9271, Perplexity: 50.7616
16.69% Epoch [1/2], Step [270/809], Loss: 3.0892, Perplexity: 21.9600
16.75% Epoch [1/2], Step [271/809], Loss: 3.0139, Perplexity: 20.3659
16.81% Epoch [1/2], Step [272/809], Loss: 3.1419, Perplexity: 23.1487
16.87% Epoch [1/2], Step [273/809], Loss: 4.0877, Perplexity: 59.6056
16.93% Epoch [1/2], Step [274/809], Loss: 3.0677, Perplexity: 21.4920
17.00% Epoch [1/2], Step [275/809], Loss: 3.1397, Perplexity: 23.0973
17.06% Epoch [1/2], Step [276/809], Loss: 3.0596, Perplexity: 21.3196
17.12% Epoch [1/2], Step [277/809], Loss: 3.0780, Perplexity: 21.7150
17.18% Epoch [1/2], Step [278/809], Loss: 3.0191, Perplexity: 20.4719
17.24% Epoch [1/2], Step [279/809], Loss: 3.1200, Perplexity: 22.6462
